2	6	好，那我现在就开始
6	16	很多小伙伴们去超星或其他地方下载书籍的时候，很多时候下载到的是一个个uvz压缩包，
16	20	然后得不到我们想要的pdf文件
20	31	我们一般的处理方法时，我们把后缀名改成zip，
31	46	把里面的一堆pdg文件解压到某个文件夹下面，
46	52	再接着用Pdg2Pic这个软件去处理这个文件夹，就可以得到我们想要的pdf文件了
52	2-11	我在这里就先做一个简单的演示，把一个uvz压缩包转换成pdf文件...
2-11	2-41	好，然后这个时候我们的重点就开始了，如果我有很多很多个这样的uvz文件，
2-41	2-45	那么我一下下去点就显得很傻，
2-45	2-49	能不能用程序帮我们一下下去点击呢？
2-49	2-57	我就专门为此写了一个程序，去做这个批量的点击工作，
2-57	3-26	原理按键精灵是类似的，下面我们就来看看这个程序的运行情况
3-26	3-45	注意这里要解压到D盘下“uvz图片包2”这个文件夹，没有就新建一个，或者你直接把我代码改一下放在你喜欢的位置也可以然后把文件夹解压到这个目录下，
3-45	7-22	注意pdg文件一定是直接放在对应的文件夹下的
